Name,Address,Website
Academy of Maritime Education and Training ,"135,East Coast Road,Kanathur Chennai- 603112    Tamil Nadu -  ",http://www.ametuniv.ac.in
Amrita Vishwa Vidyapeetham,Coimbatore Tamil Nadu-641 105    Tamil Nadu -  ,http://www.amrita.edu
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore - 641 043.     Tamil Nadu -  ,http://www.avinashilingam.edu
B.S. Abdur Rahman Institute of Science and Technology ,Seethakathi Estate G.S.T.Road  Vandalur  Chennai Tamilnadu-600 048   Tamil Nadu -  ,http://www.bsauniv.ac.in
Bharath Institute of Higher Education & Research,"173,Aghar Road Selaiyur,Chennai 600073    Tamil Nadu -  ",http://www.bharathuniv.com
Chennai Mathematical Institute  ,"Plot No. D-19 & D-20 SIPCOAT IT Park Padur Post Siruseri,TamilNadu   Tamil Nadu -  ",http://www.cmi.ac.in
Chettinad Academy of Research and Education  (CARE),Rajiv Gandhi Salai Kelambakkkam Chennai-603103 Kanchipuram Distt. Tamil Nadu   Tamil Nadu -  ,http://www.chettinadhealthcity.com
The Gandhiigram Rural Institute,Dist - Dinigul     Tamil Nadu - 624302 ,http://www.ruraluniv.ac.in
Hindustan Institute of Technology  and Science (HITS),P.O.Bag No.:01  Rajiv Gandhi Salai  Padur  Kelambakkam  Chennai   Tamil Nadu - 603 103 ,http://www.hindustanuniv.ac.in
Kalasalingam Academy of Research and Education,"Anand Nagar,Krishnankoil,Virudhuna Virudhunagar,Srivilliputtur Tamal Nadu   Tamil Nadu -  ",http://www.kalasalingam.ac.in
Karunya Institute of Technology and Sciences,Karunya Nagar  Coimbatore Tamil Nadu-641 114    Tamil Nadu - 600028 ,http://www.karunya.edu
Karpagam Academy of Higher Education ,Pallachi Main Road  Coimbatore Eachanari Post  Tamil Nadu-641021    Tamil Nadu - 641021 ,http://www.kahedu.edu.in
Dr. M.G.R. Educational and Research Institute ,"Periyar E.V.R. High Road  Maduravoyal,Chennai-600095    Tamil Nadu -  ",http://www.drmgrdu.ac.in
Meenakshi Academy of Higher Education and Research  ,No.12  vermbuliamman Kail St  K.K. Nagar(West) Chennai-600078 Tamil Nadu   Tamil Nadu -  ,http://www.maher.ac.in
Noorul Islam Centre for Higher Education ,"Kumaracoil,Thuckalay Kanyakumari  Tamil Nadu    Tamil Nadu -  ",http://www.niuniv.com
Periyar Manaimmai Institute of Science & Technology (PMIST),Periyar Nagar  Vallam  Thanjavur     Tamil Nadu -  ,http://www.pmu.edu
Ponnaiyan Ramajayam Institute of Science & technology (PMIST),Yagappa Chavadi   Thanjavur     Tamil Nadu -  ,http://www.prist.ac.in
Rajiv Gandhi National Institute of Youth Development,Sriperrumbudur     Tamil Nadu -  ,http://www.rgniyd.gov.in
S.R.M Institute of Science and Technology,2  Veerasamy Street West Mambalam  Chennai   Tamil Nadu -  ,http://www.srmuniv.ac.in
Sathyabama Institute of Science and Technology,Jeppiaar Nagar Rajiv Gandhi Salai Chennai   Tamil Nadu - 600119 ,http://www.sathyabamauniversity.ac.in
Saveetha Institute of Medical and Technical Sciences                ,Post Box No. 6  No. 162    Poonamalle High Road  Velappanchavadi Chennai    Tamil Nadu -  ,http://www.saveetha.com
Shanmugha Arts Science Technology & Research Academy (SASTRA) ,Tirumalai Samudram    Thanjavur    Tamil Nadu -  ,http://www.sastra.edu
Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya ,Sri Jayendra Saraswathi Street Enathur  Kancheepuram    Tamil Nadu -  ,http://www.kanchiuniv.ac.in
Sri Ramachandra Medical College and Research Institute ,1 Ramachandra Nagar  Chennai.    Tamil Nadu -  ,http://http://www.sriramachandra.edu.in
